date,model,alpha,pinball_loss
2022-09-23,gas_vine,0.01,1.0337606479325564e-05
2022-09-26,gas_vine,0.01,4.4113650436934316e-05
2022-09-27,gas_vine,0.01,0.0001618464379570032
2022-09-28,gas_vine,0.01,0.00035622397897488257
2022-09-29,gas_vine,0.01,0.00010048864211467551
2022-09-30,gas_vine,0.01,0.00016877095690765205
2022-10-03,gas_vine,0.01,0.0003353446654541893
2022-10-04,gas_vine,0.01,0.0003871359906199475
2022-10-05,gas_vine,0.01,0.00017093622562900374
2022-10-06,gas_vine,0.01,0.00014335826673620464
2022-10-07,gas_vine,0.01,7.743404544016787e-05
2022-10-10,gas_vine,0.01,0.0001304857224629372
2022-10-11,gas_vine,0.01,0.00014724025675328674
2022-10-12,gas_vine,0.01,0.00022236186539536897
2022-10-13,gas_vine,0.01,0.00020877969737393356
2022-10-14,gas_vine,0.01,6.4075690249404e-05
2022-10-17,gas_vine,0.01,0.00029978173969275935
2022-10-18,gas_vine,0.01,0.00023701560136614317
2022-10-19,gas_vine,0.01,6.96586000144106e-05
2022-10-20,gas_vine,0.01,0.00017177635993802017
2022-10-21,gas_vine,0.01,0.0002926887218580142
2022-10-24,gas_vine,0.01,0.00010939528779637089
2022-10-25,gas_vine,0.01,0.0002995088500005953
2022-10-26,gas_vine,0.01,0.0002630313972284316
2022-10-27,gas_vine,0.01,0.00017703967724096357
2022-10-28,gas_vine,0.01,0.00015034548647097692
2022-10-31,gas_vine,0.01,0.00012640362049738563
2022-11-01,gas_vine,0.01,0.00024963076393828306
2022-11-02,gas_vine,0.01,9.948886927757517e-05
2022-11-03,gas_vine,0.01,0.00015536222194260693
2022-11-04,gas_vine,0.01,0.00040184716840307105
2022-11-07,gas_vine,0.01,0.00019784176185227054
2022-11-08,gas_vine,0.01,0.00030039205703651756
2022-11-09,gas_vine,0.01,0.00013991979065069258
2022-11-10,gas_vine,0.01,0.0005487211026848252
2022-11-11,gas_vine,0.01,0.00034631998015587404
2022-11-14,gas_vine,0.01,0.00023323501544466178
2022-11-15,gas_vine,0.01,0.00033896345281965386
2022-11-16,gas_vine,0.01,0.0002472475767060066
2022-11-17,gas_vine,0.01,0.00019609958258547978
2022-11-18,gas_vine,0.01,0.00020205238045996768
2022-11-21,gas_vine,0.01,0.00014181114651319764
2022-11-22,gas_vine,0.01,0.0002723200206216827
2022-11-23,gas_vine,0.01,0.0002801653755028347
2022-11-25,gas_vine,0.01,0.0001798135246992134
2022-11-28,gas_vine,0.01,0.000156220789856905
2022-11-29,gas_vine,0.01,0.00023310122236723928
2022-11-30,gas_vine,0.01,0.00034028131013791763
2022-12-01,gas_vine,0.01,0.0002756005110753948
2022-12-02,gas_vine,0.01,0.00019404454962154518
2022-12-05,gas_vine,0.01,7.105802867645568e-05
2022-12-06,gas_vine,0.01,0.000221425206402177
2022-12-07,gas_vine,0.01,0.00021947433843028474
2022-12-08,gas_vine,0.01,0.00021335114609858212
2022-12-09,gas_vine,0.01,0.00013197969319138147
2022-12-12,gas_vine,0.01,0.0001432499486747412
2022-12-13,gas_vine,0.01,0.0002773744302006197
2022-12-14,gas_vine,0.01,0.00016325301537563295
2022-12-15,gas_vine,0.01,4.784433757517831e-05
2022-12-16,gas_vine,0.01,0.00017006834643142836
2022-12-19,gas_vine,0.01,0.00013154062987349478
2022-12-20,gas_vine,0.01,0.0001763864436811803
2022-12-21,gas_vine,0.01,0.000206852309596635
2022-12-22,gas_vine,0.01,0.00011165364984879104
2022-12-23,gas_vine,0.01,0.00014592522551380805
2022-12-27,gas_vine,0.01,0.00017803784457033357
2022-12-28,gas_vine,0.01,9.419719004809488e-05
2022-12-29,gas_vine,0.01,0.00024574382313351885
2022-12-30,gas_vine,0.01,8.710981005546469e-05
2023-01-03,gas_vine,0.01,0.00023102315569497364
2023-01-04,gas_vine,0.01,0.0002907480912123704
2023-01-05,gas_vine,0.01,0.00011639684937180136
2023-01-06,gas_vine,0.01,0.00034225537481777493
2023-01-09,gas_vine,0.01,0.0002255222484661209
2023-01-10,gas_vine,0.01,0.00020099305777095773
2023-01-11,gas_vine,0.01,0.0002224892277839729
2023-01-12,gas_vine,0.01,0.0002576216922199441
2023-01-13,gas_vine,0.01,0.0002061135425007385
2023-01-17,gas_vine,0.01,0.00015442040071023794
2023-01-18,gas_vine,0.01,0.0001809563522330458
